account_id,nische,plattform,handle,url,markt_sprache,follower,follower_datenqualitaet,groessenklasse,posting_frequenz,typische_views,median_views,top_views,views_datenqualitaet,content_format,ai_real_mixed,link_in_bio,affiliate,amazon_storefront,ltk,shopmy,eigene_collections,andere_affiliate_systeme,affiliate_nachweis,case_study,quelle_url,pruefdatum,notizen,quelle_datei
C-H001,Interior/Home Decor – Amazon Home Finds,Instagram,trendyhomefinds1,https://www.instagram.com/trendyhomefinds1/,EN/international,1300000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Produkt-/Deko-Reels „Products you didn’t know you needed“, virale Home-Finds; Bio „Order Here 👇“",real (vermutl. kuratierte/reposted Produktclips),Linktree (linktr.ee/trendyhomefinds1),ja,nein (amazon.com/shop/trendyhomefinds1 = 404); Amazon-Einzellinks,nein,UNKNOWN,"ja (Linktree-Produktliste, ~25+ Amazon-Produkte nach Räumen)",nein,Linktree-Beschreibung: „As an Amazon Associate I earn from qualifying purchases.“; Links amzn.to/… und amazon.com/dp/…?tag=tiktok2025000-20 (Typ AMAZON_PRODUCT),ja,https://linktr.ee/trendyhomefinds1 ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor ; https://insta-stories-viewer.com/trendyhomefinds1/,2026-09-26,"Follower-Angaben widersprüchlich: orbitvibe 1,3 Mio.; Viewer 1,3 Mio./194 Posts; Google-Snippet (WebSearch) 2 Mio./1.028 Posts. Linktree-Titel „@trendyhome“. TikTok @trendyhomefinds1 nur 55 Follower → IG-native Page.",quellen/raw_competitors_home.csv
C-H002,Interior/Home Decor – Amazon Home Finds,Instagram,divaa.finds,https://www.instagram.com/divaa.finds/,EN/US,774100,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN (Stichprobe Likes: 3.815 bzw. 3.649 Likes je Reel),UNKNOWN,UNKNOWN,Likes VERIFIED (IG-Meta Reel DPuNhtKk80T 12.10.2025: 3.815 Likes/15 Kommentare; Reel DO397VJiDtc 21.09.2025: 3.649 Likes/12 Kommentare); Views UNKNOWN,"Cozy-Room-/Vanity-Reels (Raum-Slideshows mit Text-Overlay), „Shop my faves & makeover must-haves“","real (Reel-Analyse via NexLev-Gemini: echte Wohnraumaufnahmen, vermutl. Repost fremder Creator)","Linktree (linktr.ee/divaa.finds, verlinkt instagram.com/divaa.finds)",ja,"ja (amazon.com/shop/divaaa.finds, Tag gamecraft07-20)",nein,UNKNOWN,ja (Storefront-Liste „My Fav Picks“ + eigener Shop divafinds.us),Temu-Affiliate-Link (temu.to),Linktree: „Diva’s Amazon Storefront“ (AMAZON_SHOP) + Amazon-Produktlinks mit tag=gamecraft07-20 + „Diva’s Temu | Fav Picks“; Storefront-Seite „Diva finds’s Amazon Page“,ja,https://linktr.ee/divaa.finds ; https://www.amazon.com/shop/divaaa.finds ; https://insta-stories-viewer.com/divaa.finds/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"orbitvibe 777,3k; WebSearch-Snippet 785k. Pinterest divaafinds102 ~3,8k Follower. TikTok nur 133 Follower. Reel-Caption laut Videoanalyse mit „Comment ‚PINK‘ for links“-CTA (Metadaten der Analyse widersprüchlich → nur qualitativ).",quellen/raw_competitors_home.csv
C-H003,Interior/Home Decor – Amazon Home Finds,Instagram,stylerior,https://www.instagram.com/stylerior/,EN/international,669800,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Interior-Design-/Home-Decor-Inspiration („The new way to design your 🏠“),UNKNOWN,"Linktree (linktr.ee/stylerior, verlinkt instagram.com/stylerior)",ja,"ja (amazon.com/shop/urban.homedesign = „Stylerior’s Amazon Page“, Tag urbanhomedesi-20)",nein,UNKNOWN,ja (Storefront),Temu („Temu Deals & Discounts“),Linktree-Links „Amazon Storefront“ (AMAZON_SHOP) + „Temu Deals & Discounts“; Storefront-Titel „Stylerior’s Amazon Page“,ja,https://linktr.ee/stylerior ; https://www.amazon.com/shop/urban.homedesign ; https://insta-stories-viewer.com/stylerior/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"orbitvibe: 791,2k. Storefront läuft unter anderem Vanity-Handle (urban.homedesign) → Betreiber nutzt Storefront über mehrere Pages?",quellen/raw_competitors_home.csv
C-H004,Interior/Home Decor,Instagram,home.interior1,https://www.instagram.com/home.interior1/,EN/international,1300000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„Modern interior inspiration“ – kuratierte Interior-Fotos/Reels mit Credit („📷👇“),"real (Repost/Kuration, ESTIMATED)",Linktree (linktr.ee/home.interior1),ja,"ja (amazon.com/shop/home.interior1, Tag homeinterior1-20)",nein,UNKNOWN,ja (Storefront) + eigenes Info-Produkt homeinterior1.com („Simple routines for an always-clean home“),nein,Linktree: Amazon-Kurzlink (amzn.to) „Automatic Liquid Soap Dispenser“; Storefront „Home.interior1’s Amazon Page“ mit Associate-Tag homeinterior1-20,ja,https://linktr.ee/home.interior1 ; https://www.amazon.com/shop/home.interior1 ; https://insta-stories-viewer.com/home.interior1/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"orbitvibe 1,2 Mio.; 3,8k Posts. Hybrid: Affiliate + eigenes digitales Produkt.",quellen/raw_competitors_home.csv
C-H005,Interior/Home Decor,Instagram,glam_style_living_,https://www.instagram.com/glam_style_living_/,EN/Kanada,1300000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Interior Design & Home Decor (Glam-Stil),UNKNOWN,UNKNOWN (kein Linktree unter Handle),ja,"ja (amazon.com/shop/glam_style_living_ → Vanity glamstyleliving, Tag glamstyelivin-20)",UNKNOWN,UNKNOWN,ja (Storefront),UNKNOWN,"Storefront-Titel „Glam Style Living’s Amazon Page“ unter identischem Handle, Associate-Tag glamstyelivin-20",ja,https://www.amazon.com/shop/glam_style_living_ ; https://insta-stories-viewer.com/glam_style_living_/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"Bio nur „Elizabeth“ → evtl. personengeführt. orbitvibe 1,2 Mio. (Kanada). Zuordnung IG↔Storefront über identischen Handle/Namen (nicht über Link bestätigt).",quellen/raw_competitors_home.csv
C-H006,Interior/Home Decor (Design-Education),Instagram,d.signers,https://www.instagram.com/d.signers/,EN/ES international,4400000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Interior-Design-Tipps, Raum-Makeovers/Renderings, Guides",mixed (ESTIMATED),Linktree (linktr.ee/d.signers),ja,"ja (amazon.com/shop/d.signers „Zahira Cury’s Amazon Page“, Tag eduardocarvaj-20)",nein,UNKNOWN,ja (Storefront + eigene Kurse „D.Signers Academy“),geni.us-Link „Shop DS Amazon Store“,Linktree-Link „Shop DS Amazon Store“ (geni.us); Storefront-Tag eduardocarvaj-20 passt zu IG-Bio „@zahira.cury @eduardocarvajal“,ja,https://linktr.ee/d.signers ; https://www.amazon.com/shop/d.signers ; https://insta-stories-viewer.com/d.signers/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"Bio: „7M+ design lovers“ (plattformübergreifend, CLAIMED). Monetarisierung primär Kurse, Amazon sekundär. Marken-Page, nicht rein faceless-anonym.",quellen/raw_competitors_home.csv
C-H007,Home Hacks / Home Decor Produkte,Instagram,homeinspirehacks,https://www.instagram.com/homeinspirehacks/,EN/international,2300000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Home-Hacks, Falt-Tricks, „amazing products“; Bio „👇 Shop Here 👇“",real (ESTIMATED),UNKNOWN (kein Linktree/Beacons abrufbar),unklar,nein (404 unter Handle),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,nur Bio-CTA „Shop Here“; Linkziel nicht ermittelbar,nein,https://insta-stories-viewer.com/homeinspirehacks/ ; https://hypeauditor.com/instagram/homeinspirehacks/ (Suchsnippet) ; https://www.threads.com/@homeinspirehacks ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"HypeAuditor (Snippet): 2.686.992 Follower, ER 0,03 %, Einkommensschätzung Mai 2025 4.280–5.863 USD (ESTIMATED, Drittanbieter). orbitvibe 1,8 Mio. Threads 488,4k. Sehr niedrige Engagement-Rate.",quellen/raw_competitors_home.csv
C-H008,Home Decor / Produkte (eigener Shop),Instagram,myhousesdecors,https://www.instagram.com/myhousesdecors/,EN/international,4100000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„Home Decor | Trendy Products | DIY Ideas“ – Produkt-Reels,real (ESTIMATED),Linktree (linktr.ee/myhousesdecors),nein,nein,nein,nein,"ja (eigener Shop myhousesproduct.com, 18 Produktlinks)",nein (Dropshipping-/Eigenshop-Modell),"Linktree verlinkt ausschließlich myhousesproduct.com (Outdoor Bath Kit, Cleaning Brush, Shoe Organizer …) → Eigenshop statt Affiliate",nein,https://linktr.ee/myhousesdecors ; https://insta-stories-viewer.com/myhousesdecors/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"Follower-Diskrepanz: Viewer 4,1 Mio. vs. orbitvibe 1,5 Mio. Wichtiger Vergleich: große Home-Page monetarisiert über eigenen Shop (höhere Marge) statt Affiliate.",quellen/raw_competitors_home.csv
C-H009,Interior/Home Decor,Instagram,homedecoration330,https://www.instagram.com/homedecoration330/,EN/UK,939600,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Home Decor/Interior Styling/DIY – Repost-Page („Copyright issue: message us for removal“),real (Reposts),UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Nachweis gefunden; Bio: „DM for collaborations“ (Sponsoring-Modell wahrscheinlich),nein,https://insta-stories-viewer.com/homedecoration330/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"orbitvibe 934k; 3,6k Posts.",quellen/raw_competitors_home.csv
C-H010,Interior/Home Decor,Instagram,myhouselooks,https://www.instagram.com/myhouselooks/,EN/international,368200,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Interior-Inspiration, Repost („DM for credit or removal“)",real (Reposts),UNKNOWN („Check them out 👇“),unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Nachweis,nein,https://insta-stories-viewer.com/myhouselooks/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"Diskrepanz: orbitvibe 1,1 Mio. vs. Viewer 368,2k (evtl. Follower-Verlust/Datenstand).",quellen/raw_competitors_home.csv
